name,street_address,price,cuisine,rating
Nanjing Impressions,"Plaza Singapura, 68 Orchard Road, #04-46/51",$31 - $50,Chinese,
Nanta BBQ,"Goldhill Centre, 175 Thomson Road #01-175-177",$21 - $30,Korean,
Nanxiang Steamed Bun Restaurant,"Junction 10, 1 Woodlands Road #02-18",$11 - $20,Shanghainese,3.5
Nanxiang Steamed Bun Restaurant,"Plaza Singapura, 68 Orchard Road #02-01",$21 - $30,Shanghainese,4
Nanyang Delights - Koufu,"No. 5, Stadium Walk, Leisure Park Kallang, #03-01/02",Under $10,Chinese,
Nanyuan,"Beo Crescent Market &amp; Food Centre, 38A Beo Crescent #01-68",Under $10,,3.5
Napoleon Food &amp; Wine Bar,206 Telok Ayer Street,$21 - $30,"French, Asian Variety, Fusion",
Nara Thai Cuisine,"ION Orchard, 2 Orchard Turn, #B3-21",$21 - $30,Thai,3
Nasi Ayam - Rasa-Rasa Food Fiesta Restaurant,Blk 2A Woodlands Centre Road #01-118,Under $10,Malay,
Nasi Coco,"NeWest, 1 West Coast Drive, #01-73",Under $10,"Japanese, Fusion",
Nasi Lemak,"Buona Vista Xchange, 100 North Buona Vista Road #01-05",Under $10,Malay,
Nasi Lemak . Economic Bee Hoon - NeighbourFood,Blk 892C Woodlands Dr 50 #01-02,Under $10,"Malay, Singaporean",
Nasi Lemak - Kopitiam,"Yew Tee MRT, 61 Choa Chu Kang Drive #01-01",Under $10,Malay,4.5
Nasi Lemak - Kopitiam,"Downtown East, Blk 1 Pasir Ris Close #09",Under $10,Malay,
Nasi Lemak Kukus,229 Selegie Road,Under $10,Malay,3.5
Nasi Lemak Syed Alwi,196 Syed Alwi Road,Under $10,Malay,
Nasi Lemak,"Tanjong Pagar Plaza Market &amp; Food Centre, Blk 6 Tanjong Pagar Plaza #02-08",Under $10,Malay,
Nasi Padang - Bagus,"Causeway Point, 1 Woodlands Square #07-03",Under $10,Malay,
Nasi Padang - Kopitiam,"Downtown East, Blk 1 Pasir Ris Close #12",Under $10,Malay,
Nasi Padang - Rasa-Rasa Food Fiesta Restaurant,Blk 3A Woodlands Centre Road #01-118,Under $10,Malay,
Nasi Padang River Valley,55 Zion Road,Under $10,,3.5
Nasi Padang Sederhana,"Amoy Street Food Centre, 7 Maxwell Road #02-91",Under $10,Malay,
Nasi Padang,"Seah Im Food Centre, 2 Seah Im Road #01-38",Under $10,Malay,
Nasi Putih Ayam Penyet(Rojak &amp; Satay),"ABC Brickworks Food Centre, Blk 6 Jalan Bukit Merah #01-05",Under $10,Malay,
Nasrin,30 Bali Lane,Under $10,Middle Eastern/Mediterranean,
Nassim Hill Bakery Bistro Bar,56 Tanglin Road #01-03,$31 - $50,Multi-Cuisine,3.5
National Kitchen by Violet Oon,"National Gallery Singapore, 1 St Andrews Rd #02-01",$11 - $20,Peranakan / Nonya,
Nature Park Beer Garden,603 Sin Ming Ave,$11 - $20,"Singaporean, Chinese",
Naughty Nuri&#39;s,"Capitol Piazza, 15 Stamford Road #01-84",$11 - $20,American,
Naughty Pigs,306 Tanjong Katong Road,$11 - $20,,
Nectarie le Dessert Patisserie,"Clarke Quay, 3C River Valley Road #01-05",$21 - $30,American,4.5
NeNe Chicken,"Bedok Mall, 311 New Upper Changi Road #02-02",$11 - $20,Korean,3
NeNe Chicken,"Bukit Panjang Plaza, 1 Jelebu Rd #02-10",$11 - $20,Korean,
NeNe Chicken,"The Star Vista, 1 Vista Exchange Green #01-24",$11 - $20,Korean,3
NeNe Chicken,"Hougang Mall, 90 Hougang Ave 10 #02-24",$11 - $20,Korean,
NeNe Chicken,"OneKM Mall, 11 Tanjong Katong Road #02-39/40",$11 - $20,Korean,
NeNe Chicken,"Seletar Mall, 33 Sengkang West Avenue #B2-10/11",$11 - $20,Korean,
NeNe Chicken,"NEX, 23 Serangoon Central,  #04-15/16",$11 - $20,Korean,
NeNe Chicken,"*SCAPE, 2 Orchard Link #02-39",$11 - $20,Korean,4
New Bread,Blk 477 Tampines St 43 #01-182,Under $10,,
New Fut Kai Vegetarian Restaurant,282 Jalan Besar,Under $10,,4
New Lucky Claypot Rice,"Holland Drive Market &amp; Food Centre, 44 Holland Drive, #02-19",Under $10,Singaporean Chinese,4
New Seafood Restaurant,"Sunshine Place, 475 Choa Chu Kang Ave 1",$11 - $20,Singaporean,
New Soon Huat Bak Kut Teh,949 Upper Serangoon Road,Under $10,,3.5
New Station Snack Bar,"Far East Plaza, 14 Scotts Road #05-95",Under $10,Singaporean Chinese,3.5
New Ubin Seafood,"63 Hillview Avenue, Level 6 (Canteen)",$21 - $30,Singaporean Chinese,4
New Ubin Seafood,"Sin Ming Industrial Estate, 27 Sin Ming Road (Sector A)",$11 - $20,Fusion,3.5
New Udon Thai Food,"Golden Mile Complex, 5001 Beach Road #01-55",$11 - $20,Thai,
New World Mutton Soup,"Berseh Food Centre, 166 Jalan Besar #02-57",Under $10,,4
New York New York,"AMK Hub, 53 Ang Mo Kio Ave 3 #B1-25/26",$11 - $20,American,3.5
New York New York,"Jurong Point, 63 Jurong West Central 3 #B1-57/59 (JP2)",$11 - $20,American,4
New York New York,"Heartland Mall, 205 Hougang St 21 #02-00",$11 - $20,American,3.5
New York New York,"Kallang Leisure Park, 5 Stadium Walk #01-55",$11 - $20,American,3
New Zealand Natural,"Paragon, 290 Orchard Road #B1-K2",Under $10,Australian / New Zealand,3
Next Door Deli,Blk 529 Ang Mo Kio Ave 10,Under $10,Fusion,3.5
Ng Ah Sio Bak Kut Teh,208 Rangoon Road,Under $10,,3.5
Ng Ah Sio Bak Kut Teh,"Marina Bay Sands, 2 Bayfront Avenue #B2-50 (The Shoppes)",Under $10,,3.5
Ng Guan Huat,"Ang Mo Kio Market &amp; Food Centre, Blk 724 Ang Mo Kio Ave 6 #01-11",Under $10,Cantonese/Hong Kong,
Ngee Kee Fried Hokkien Mee,"60 Airport Boulevard, Changi Airport Terminal 2 #3M (Staff Canteen)",Under $10,,3.5
Nigiro Cafe Singapore - Eat at Seven,"Suntec City Mall, 3 Temasek Boulevard # 03-315",$11 - $20,"Italian, Japanese",
Nihon Mura Izakaya,"Jurong West Sports &amp; Recreation Centre, 20 Jurong West St 93 #04-01",$21 - $30,Japanese,3
Nikunohi - Eat at Seven,"Suntec City North Wing, 3 Temasek Boulevard #03-316",$21 - $30,Japanese,
Nimman Soi 9,"21 Street Eating Place, 201 Tampines Street 21",Under $10,Thai,
Ninja Bowl,"15, Duxton Road",$11 - $20,"Japanese, Asian Variety",
Ninja Mookata,"Katong Student Hostel, 369 Tanjong Katong Road",Under $10,Thai,
No. 1 Western Food,"Tanglin Halt Food Centre, Blk 1A Commonwealth Drive #01-13",Under $10,Singaporean Western,
No.18 Zion Road Fried Kway Teow,"Zion Riverside Food Centre, 70 Zion Road #01-17",Under $10,"Singaporean, Chinese",4
No Name Cheng Tng,Blk 69 Bedok South Avenue 3 #01-468,Under $10,Chinese,
No Signboard Seafood,"The Central, 6 Eu Tong Sen Street, #04-63",$21 - $30,,4
No Signboard Seafood,414 Geylang Road,$21 - $30,,4
No Signboard Seafood,"Esplanade Mall, 8 Raffles Avenue #01-14",$21 - $30,,4
NOM - Bistro &amp; Bakery,"Macpherson Community Club, 400 Paya Lebar Way (Level 1)",$11 - $20,,
NOM - Bistro &amp; Bakery,"Macpherson Community Club, 400 Paya Lebar Way Level 1",$11 - $20,,3.5
Non Entr&#233;e Desserts,204 Rangoon Road,$11 - $20,European,3.5
Nonya Delicatessen,"Bukit Timah Plaza, 1 Jalan Anak Bukit #B1-K69",Under $10,Peranakan / Nonya,
Noo Cheng Adam Road Big Prawn Noodle,"Adam Road Food Centre, 2 Adam Road #01-27",Under $10,,3.5
Noo Cheng Adam Road Big Prawn Noodle,"Zion Riverside Food Centre, 70 Zion Road #04",Under $10,Singaporean Chinese,4
Noodle Around,"Bugis CUBE, 470 North Bridge Road #01-03",Under $10,"Singaporean, Fusion",4
Noodle Cafe - Thai Boat Noodle,"Golden Mile Complex, 5001 Beach Road #B1-08",Under $10,Thai,
Noodle House Ken,"Orchard Plaza, 150 Orchard Road #01-17/18",$21 - $30,Japanese,3.5
Noodle House - Koufu,"Loyang Point, Blk 258 Pasir Ris St 21 #02-313",Under $10,,
Noodle House - NeighbourFood,"Blk 892C Woodlands Dr 50, #01-02",Under $10,,
Noodle House,"Giant Tampines, 21 Tampines North Drive 2",Under $10,"Singaporean, Chinese",
Noodle Stall - The Business Park,"Temasek Polytechnic Blk 26, 21 Tampines Avenue 1 #01-06",Under $10,Singaporean Chinese,
Noodle Village - Koufu,"Pioneer Mall, Blk 638A Jurong West St 61 #01-22",Under $10,,
Nook,21 Lorong Kilat #01-03,Under $10,,3.5
Noshery,9 Rochester Park,$21 - $30,,3.5
Note di Sicilia,"Quayside Isle, 31 Ocean Way #01-09",$11 - $20,Italian,
November8 Coffee &amp; Company,"Thomson V Two, 11 Sin Ming Road #01-30",$11 - $20,American,3.5
Novus Restaurant,"National Museum of Singapore, 93 Stamford Road #01-02",$31 - $50,European,3.5
NOX- Dine in the Dark,269 Beach Road,$81 - $150,European,4
Nunsaram,"Westgate, 3 Gateway Drive #04-37/K4",$11 - $20,Korean,
Nunsaram Korean Dessert Cafe,"Orchard Central, 181 Orchard Road, #05-51/52",$21 - $30,Korean,
Nunsongyee,534 North Bridge Road,$11 - $20,Korean,
Nunsongyee,227 Upper Thomson Road,$11 - $20,Korean,
Nurul Delight - Abundance Eating House,413 Bukit Batok West Avenue 4 #01-00,Under $10,Malay,
"NV 50, Your Casual Diner","NTU Nanyang Executive Centre, Blk 60 Nanyang View",$11 - $20,Multi-Cuisine,
nydc,"Bugis Junction, 200 Victoria St #02-47/48",$21 - $30,American,3.5
nydc,"Novena Square Velocity, 238 Thomson Road #03-26/27",$21 - $30,American,4
nydc,"Wheelock Place, 501 Orchard Road #02-19",$21 - $30,American,3.5
Nylon Coffee Roasters,4 Everton Park #01-40,Under $10,Multi-Cuisine,4
O Banh Mi,302 Tiong Bahru Road #02-113,Under $10,Vietnamese,
O&#39; Sole Mio,431 Sembawang Road,$11 - $20,"Italian, European",
Oasis Steak &amp; Grill,"Oasis Terraces, 681 Punggol Drive, #01-04",$11 - $20,Italian,
Oasis Taiwan Porridge Restaurant,"Toa Payoh Town Park, 303 Toa Payoh Lorong 6",$11 - $20,Taiwanese,4
O&#39;Bean Organic Soya Store,43 New Bridge Road,Under $10,Singaporean,
Oberstrasse,"Kitchener Complex, 809 French Road, #01-50",$11 - $20,American,
oblong,10 Maju Avenue #B1-07,Under $10,,4
O&#39;Brew Culture,"Tampines 1, 10 Tampines Central 1, #02-K2",Under $10,Asian Variety,
O&#39;Briens Irish Sandwich Bar,"Nankin Row, 3 Pickering St #01-26",$11 - $20,"Irish, European",
Ocean Kingdom Seafood Restaurant,328 Joo Chiat Road,$11 - $20,Chinese,5
Ocean Restaurant by Cat Cora,"Resort World Sentosa, 8 Sentosa Gateway (Equarius Hotel)",$81 - $150,Fusion,3.5
Oceans of Seafood,"The Grandstand, 200 Turf Club Road #02-06 (#02-K2 to #02-K11)",$21 - $30,"Japanese, Multi-Cuisine",3.5
Ochado,Blk 102 Yishun Avenue 5 #01-129,Under $10,,4
OChre Italian Restaurant,"Orchard Central, 181 Orchard Road #11-03/04",$31 - $50,"Italian, European",4
O&#39;Coffee Club,"Raffles City Shopping Centre, 252 North Bridge Road #03-30/30A",Under $10,Fusion,3.5
O&#39;Coffee Club,"The Central, 8 Eu Tong Sen St #03-105",Under $10,American,3.5
O&#39;Coffee Club,"IMM, 2 Jurong East St 21 #01-125",Under $10,,3
O&#39;Coffee Club,"Wheelock Place, 501 Orchard Road #01-K1/K2",Under $10,American,3.5
O&#39;Coffee Club,"Ngee Ann City, 391 Orchard Road #03-09 (Inside Kinokuniya Bookstore)",Under $10,American,4
O&#39;Coffee Club,"Paragon, 290 Orchard Road #03-09",Under $10,American,4
O&#39;Coffee Club,No. 7 Raffles Place,Under $10,American,3.5
O&#39;Coffee Club,"Seletar Mall, 33 Sengkang West Avenue #02-K7",Under $10,,
Octapas Spanish Tapas Bar,"Blk D Clarke Quay, River Valley Road #01-08",$31 - $50,Spanish,4
Odette,"National Gallery Singapore, 1 St Andrew’s Road, #01-04",$151 - $300,French,4.5
Odoru Kuma,"580 Queensway Road, #01-02",$31 - $50,Japanese,
Ofira Amazing Thai Food,"Far East Plaza, 14 Scotts Road #01-20",Under $10,Thai,3.5
OH MY MANGO,"Gek Poh Shopping Centre, 762 Jurong West Street 75, #01-334",Under $10,Thai,
Oh My Tian,34 Whampoa West #01-79,$11 - $20,English,
Oil Town Sarawak Noodle,Blk 285 Yishun Ave 6 #01-02,Under $10,"Malaysian, Chinese",
Oishii Bakery,"West Coast Plaza, 154 West Coast Road #B1-24/25",Under $10,"Japanese, Singaporean",4
OK Tea,"The Grandstand, 200 Turf Club Road #01-22A",Under $10,"Taiwanese, Chinese",
Okinawan Diner Nirai-Kanai,"Great World, 1 Kim Seng Promenade, #01-107/108",$21 - $30,Japanese,4
Okonomiyaki House Iroha 168,392 East Coast Road,$11 - $20,Japanese,
Old Boys Gallery,67 Kampong Bahru Road,$11 - $20,"Spanish, Fusion",
Old Chang Kee,"Bedok Mall, 311 New Upper Changi Road #B2-K4",Under $10,Singaporean,
Old Chang Kee,"Jurong Point, 63 Jurong West Central 3 #01-39 (JP2)",Under $10,Singaporean,4
Old Chang Kee,"Bugis Junction, 200 Victoria St #B1-13",Under $10,Singaporean,4
Old Chang Kee,"Lot One Shoppers&#39; Mall, 21 Choa Chu Kang Ave 4 #B1-K23",Under $10,Singaporean,4
Old Chang Kee,"Jem, 50 Jurong Gateway Road #B1-K5",Under $10,Singaporean,
Old Chang Kee,"V Hotel, 70 Jellicoe Road #01- 06",Under $10,Singaporean,
Old Chang Kee,"Paragon, 290 Orchard Road #B1-10",Under $10,Singaporean,3.5
Old Chang Kee,"White Sands, 1 Pasir Ris Central St 3 #01-42",Under $10,Singaporean,3.5
Old Chang Kee,"313@Somerset, 313 Orchard Road #B3-24",Under $10,Singaporean,3.5
Old Chang Kee,"Tampines MRT Station, 20 Tampines Central 1 #01-03",Under $10,Singaporean,
Old Chang Kee,"Caltex, 1 Tampines Ave 8",Under $10,Singaporean,
Old Chang Kee,"VivoCity, 1 Harbourfront Walk #B2-K12",Under $10,Singaporean,4
Old Chang Kee,"United Square, 101 Thomson Road #01-K2",Under $10,Singaporean,
Old Hen Coffee Bar,88 Rangoon Road #01-03,$11 - $20,,
Old Hong Kong Essence,"Oasia Hotel Singapore, 8 Sinaran Drive #02-05",$11 - $20,Cantonese/Hong Kong,
Old Kim Guan Express,"Icon Village, Enggor Street #01-01",$11 - $20,,
Old Kim Guan,"Sunshine Plaza, 91 Bencoolen St #01-55/88",$11 - $20,Chinese,
Old Kim Guan,"Nex, 23 Serangoon Central #01-58",$11 - $20,Singaporean Chinese,3.5
Old Long House Popiah,"Kim Keat Palm Market &amp; Food Centre, Blk 22 Lorong 7 Toa Payoh #01-03",Under $10,Teochew,3.5
Old Punggol Nasi Lemak,"Jalan Besar Stadium, 100 Tyrwhitt Road, Horne Road Food Court",Under $10,Singaporean Chinese,3
Old Punggol Satay,"Alexandra Village Food Centre ,120 Bukit Merah Lane 1, #01-52",Under $10,,4
Old Rochor Beancurd,"Hoa Nam Building, 27 Foch Road #01-03",Under $10,,
Old Street Bak Kut Teh. You Tiao. Soya Milk,"Funan Digitalife Mall, 109 North Bridge Road #01-15",Under $10,,
Old Street Bak Kut Teh. You Tiao. Soya Milk,"Westgate, 3 Gateway Drive #B1-25",Under $10,,3.5
Old Street Bak Kut Teh. You Tiao. Soya Milk,129 Upper Paya Lebar Road,Under $10,,3.5
Old Street Bak Kut Teh. You Tiao. Soya Milk,"Nex, 23 Serangoon Central #B2-50/51",Under $10,"Singaporean, Chinese",
Old Tiong Bahru Bak Kut Teh,"58 Seng Poh Road, #01-31",$11 - $20,Singaporean Chinese,2.5
OldTown White Coffee,"Bedok Mall, 311 New Upper Changi Road #02-03/04",Under $10,Malaysian,
OldTown White Coffee,"Jurong Point, 63 Jurong West Central 3 #03-105 (JP2)",Under $10,Singaporean,3.5
OldTown White Coffee,"Playground @ Big Splash, 902B East Coast Parkway #01-08/09",Under $10,Malaysian,4
OldTown White Coffee,"JCube, 2 Jurong East Central 1 #01-19",Under $10,Malaysian,3.5
OldTown White Coffee,"Aperia, 12 Kallang Ave #01-19/20",Under $10,Malaysian,
OldTown White Coffee,"Kallang Wave Mall, 1 Stadium Place #01-18/19",Under $10,Malaysian,
OldTown White Coffee,"Square 2, 10 Sinaran Drive #01-26/45/46",Under $10,Malaysian,3.5
OldTown White Coffee,"Cathay Cineleisure Orchard, 8 Grange Road #01-04/04A",Under $10,,3.5
Olio Bites Caf&#233;,"NTUC Centre, 1 Marina Boulevard Level 21",Under $10,,
Ollella and The Pourover Bar,"3 Petain Road, Residences@Somme, #01-01",Under $10,,
Ollella,"3, Petain Road, Residences@Somme, #01-01",Under $10,Indonesian,
O&#39;ma Spoon Korean Dessert Cafe,"Marina Square, 6 Raffles Boulevard #01-01/02/03",$11 - $20,Korean,
O&#39;ma Spoon Korean Dessert Cafe,"313@Somerset, 313 Orchard Road #04",$11 - $20,Korean,
Omakase Burger,"Wisma Atria, 435 Orchard Road #01-02/03/37 to 41",$11 - $20,,4
Omakaseya Azmaya,"Robertson Walk, 11 Unity Street 02-14",$21 - $30,Japanese,
On The Grill,"City Square Mall, 180 Kitchener Road, #03-21/22",$11 - $20,Korean,
On The Table,118 Pasir Panjang Road,$11 - $20,,4
One Bowl Man,"Marina Bay Link Mall, 8A Marina Boulevard, #B2-67",Under $10,Singaporean Chinese,
One Man Coffee,215R Upper Thomson Road,$11 - $20,,4
One Rochester,1 Rochester Park,$31 - $50,Singaporean Western,4
One Ton Mee - Kwang Hui Kopitiam,"Rochor Centre, 1 Rochor Road",Under $10,Singaporean Chinese,
Ong Khim Popiah,"ABC Brickworks Food Centre, Blk 6 Jalan Bukit Merah, #01-124",Under $10,,2.5
Onion Restaurant And Bar,791 Bukit Timah Road #01-01,$11 - $20,"Italian, Middle Eastern/Mediterranean, European",
O&#39;nya Sayang,"Paya Lebar Square, 60 Paya Lebar Road #B1-30/31",$11 - $20,Peranakan / Nonya,4
Ooh! Crepes,"VivoCity, 1 Harbour Front Walk, #01-06",Under $10,Belgian,
Oosters Belgian Brasserie,"Capital Square 3, 25 Church St #01-04",$21 - $30,Belgian,
Ootoya,"Suntec City Mall, 3 Temasek Boulevard #B1-057",$11 - $20,Japanese,4
Ootoya Japanese Restaurant,"Changi City Point, 5 Changi Business Park Central 1 #01-30/31",$21 - $30,Japanese,3.5
Ootoya Japanese Restaurant,"Orchard Central, 181 Orchard Road #08-12",$31 - $50,Japanese,3.5
Open Door Policy,19 Yong Siak St,$21 - $30,Fusion,3.5
Open Farm Community,130E Minden Road,$31 - $50,,4
Oporto,"Holland Piazza, 3 Lorong Liput, #01-01",$11 - $20,Portuguese,
Orchid Live Seafood,"No.1, Bah Soon Pah Road",$31 - $50,,
Orchid Thai,"Singapore Post Centre, 10 Eunos Road 8 #B1-03A",$11 - $20,Thai,
Orgo,"Esplanade Mall, 8 Raffles Avenue, #04-01",$51 - $80,Fusion,3.5
Oriental Herbal Tea,"Woodlands Xchange, 30 Woodlands Ave 2",Under $10,Chinese,
Original Changi Ten Mile. Fried Carrot,Blk 16 Bedok South Road #01-45,Under $10,"Singaporean, Chinese",
Original Hokkien Lor Mee,Blk 216 Bedok North Street 1 #01-65,Under $10,,
Original Serangoon Road Fried Hokkien Mee,556 Serangoon Road,Under $10,,
Original Sin,"Chip Bee Gardens, 43 Jalan Merah Saga #01-62",$31 - $50,Middle Eastern/Mediterranean,4
Oriole Coffee + Bar,"Pan Pacific Serviced Suites, 96 Somerset Road #01-01",$21 - $30,,3.5
Oromo Coffee,"Shaw Towers, 100 Beach Road #01-41B",Under $10,,
Osahime Sushi Bar &amp; Restaurant,"Golden Shoe Car Park, 50 Market St #01-25/26",$11 - $20,Japanese,
Osaka Ohsho,"Westgate, 3 Gateway Drive #03-09",$11 - $20,Japanese,3.5
Osaka Ohsho,"Nex, 23 Serangoon Central #03-06/07",$11 - $20,Japanese,
Oscar&#39;s,"Conrad Centennial Singapore, 2 Temasek Boulevard Ground Level",$21 - $30,Multi-Cuisine,4
OSG Bar+,"Suntec City Mall, 3 Temasek Boulavard #01-510/511",$11 - $20,Spanish,
Oshino,"Raffles Hotel Shopping Arcade, 328 North Bridge Road, #01-11",$301 - $500,Japanese,
Osia,"Resorts World Sentosa, 10 Sentosa Gateway #02-140/141 (Crockfords Tower)",$31 - $50,Australian / New Zealand,4
OTG Coffee,"Blk 211, Serangoon Ave 4 #01-02",Under $10,,
Otto Locanda,"Maxwell Chambers, 32 Maxwell Road #01-03",$51 - $80,"Italian, Middle Eastern/Mediterranean, European",4.5
Ottoman Kebab &amp; Grill,"Bedok Mall, 311 New Upper Changi Road #01-75",$11 - $20,Middle Eastern/Mediterranean,
Out Of The Cake Box,Blk 45 Telok Blangah Drive #01-173,Under $10,,
Out Of The Pan,"Raffles City Shopping Centre, 252 North Bridge Road #B1-45",$11 - $20,European,4
Outback Steakhouse,"Millenia Walk, 9 Raffles Boulevard #01-114",$21 - $30,Australian / New Zealand,3.5
Outback Steakhouse,"Orchard Gateway, 277 Orchard Road #04-01",$21 - $30,Australian / New Zealand,3
Outpost Bar &amp; Bistro,"St James Power Station, 3 Sentosa Gateway #01-11",$21 - $30,,
Outram Park Ya Hua Rou Gu Cha,"PSA Tanjong Pagar Complex, 7 Keppel Road #01-05/07",Under $10,Singaporean Chinese,4
Oven &amp; Fried Chicken,182 Telok Ayer St,$31 - $50,Korean,
Oven Marvel,"Sunshine Plaza, 91 Bencoolen St #01-51",Under $10,Singaporean,4
OverEasy,"One Fullerton, 1 Fullerton Road #01-06",$21 - $30,American,3.5
OverEasy,"Liat Towers,  541 Orchard Road #01-01",$21 - $30,American,
Owl Cafe,"Bedok Point, 799 New Upper Changi Road #01-07",Under $10,Fusion,
Owl Cafe,"The Star Vista, 1 Vista Exchange Green #02-10/11",Under $10,"Singaporean, Fusion",3.5
Oxwell &amp; Co.,5 Ann Siang Road,$21 - $30,"English, European",
Oyster Bar &amp; Grill Wharf,"The Quayside, 60 Robertson Quay #01-01",$11 - $20,"American, Spanish, French, Italian",
OZ Specialty Coffee,"Thomson V Two, 11 Sin Ming Road #01-13",Under $10,,4
P. Bistro,"Palais Renaissance, 390 Orchard Road #B1-06",$11 - $20,"French, Italian, Fusion",
P.Osh,"Dhoby Ghaut MRT, 11 Orchard Road #B1-40",Under $10,American,4
Pacamara Boutique Coffee Roasters,185 Upper Thomson Road,$21 - $30,"American, French",3.5
Pacific Marketplace,"Pan Pacific Hotel Singapore, 7 Raffles Boulevard Lobby",$31 - $50,Multi-Cuisine,
Padang Delights - Food Republic,"313@Somerset, 313 Orchard Road Level 5",Under $10,Indonesian,3
Paddington House of Pancakes,"City Square Mall, 180 Kitchener Road #02-35/36",$11 - $20,American,3.5
Paddy Hills,38 South Buona Vista Road,$31 - $50,"Western Variety, Asian Variety",4
Paik&#39;s Bibim,"Bedok Mall, 311 New Upper Changi Road #01-95",Under $10,Korean,4.5
Pain De Gourmet Sun Moulin,"Shaw House, 350 Orchard Road Basement 1",Under $10,Japanese,3.5
Palio,"Resorts World Sentosa, 8 Sentosa Gateway (Hotel Michael Lobby)",$21 - $30,Italian,4
Palm Beach Seafood,"One Fullerton, 1 Fullerton Road, #01-09",$31 - $50,Singaporean,4.5
Pan Ji Cooked Food,"Chinatown Complex Market and Food Centre, 335 Smith St #02-078",Under $10,,3.5
Pancake - Istanbul,Blk 476 Tampines St 44 #01-203,Under $10,,
Panggang - Munch,"Ngee Ann Polytechnic, Blk 73 535 Clementi Road",Under $10,Indonesian,5
Panggang &amp; Penyet - Makan Place,"Ngee Ann Polytechnic, Blk 51, 535 Clementi Road, Makan Place",Under $10,Indonesian,
Pantler,198 Telok Ayer St,$11 - $20,,
Pantler,474 River Valley Road,$11 - $20,,
Paper Rice Vietnamese Kitchen,"Changi City Point, 5 Changi Business Park Central 1, #B1-26/27",$21 - $30,Vietnamese,
PappaMia,"Changi Airport Terminal 1, 80 Airport Boulevard #03-22 (Viewing Mall)",$11 - $20,"Malay, Malaysian",3
PappaRich,"The Star Vista, 1 Vista Exchange Green #01-43/K4",$11 - $20,Malaysian,4
PappaRich,"Westgate, 3 Gateway Drive #03-06",$11 - $20,Malaysian,3
PappaRich,"OneKM Mall, 11 Tanjong Katong Road #01-60/61/62",$11 - $20,Malaysian,
Paradise Classic,"Suntec City Mall, 3 Temasek Boulevard #B1-110/178",$11 - $20,Singaporean Chinese,3.5
Paradise Dynasty,"Westgate, 3 Gateway Drive #02-13/14",$21 - $30,Shanghainese,4
Paradise Dynasty,"ION Orchard, 2 Orchard Turn #04-12A",$21 - $30,Shanghainese,4
Paradise Dynasty,"Causeway Point, 1 Woodlands Square #05-16/17/18",$21 - $30,Shanghainese,4
Paradise Pavilion,"Marina Bay Financial Centre, 8A Marina Boulevard #02-01 (Ground Plaza)",$51 - $80,Cantonese/Hong Kong,4
Pardon My French,12 Gopeng Street,$11 - $20,"French, Singaporean Western, Fusion",
Paris Baguette,"Changi Airport Terminal 2, 60 Airport Boulevard (Arrival Hall)",$11 - $20,Korean,
Paris Baguette,"Jem, 50 Jurong Gateway Road #02-20/21",$11 - $20,Korean,3.5
Paris Baguette,"Wisma Atria, 435 Orchard Road #02-48/52",$11 - $20,Korean,3.5
Paris Baguette,"Tampines Mall, 4 Tampines Central 5 #01-32",$11 - $20,Korean,3
Park,281 Holland Ave #01-01,$11 - $20,,3.5
Parkland Sliced Fish Soup - Kopitiam,"Golden Wall Centre, 89 Short St",Under $10,Chinese,
Parklane Zha Yun Tun Mee House,"Sunshine Plaza, 91 Bencoolen St #01-53",Under $10,Cantonese/Hong Kong,3.5
PasarBella,"The Grandstand, 200 Turf Club Road #02-06",Under $10,Multi-Cuisine,4
Pasta Brava,11 Craig Road,$31 - $50,Italian,4
Pasta Brava,11 Craig Road,$51 - $80,Italian,4
Pasta e Formaggio,"Oxley Tower, 138 Robinson Road, #01-08",$11 - $20,Italian,
Pasta Inc,35 Keong Saik Road,$31 - $50,"Italian, European",3.5
PastaMania,"Junction 8 Shopping Centre, 9 Bishan Place #01-37",$11 - $20,Italian,4
PastaMania,"Lot One Shoppers&#39; Mall, 21 Choa Chu Kang Ave 4 #03-02A",$11 - $20,Italian,4.5
PastaMania,"Funan Digitalife Mall, 109 North Bridge Road #01-08/09",$11 - $20,Italian,4
PastaMania,"SMU, 70 Stamford Road #B1- 47 (Li Ka Shing Library)",$11 - $20,Italian,
PastaMania,"Jurong East Swimming Complex, 21 Jurong East St 31 #01-01",$11 - $20,Italian,
PastaMania,"Kallang Leisure Park, 5 Stadium Walk, #01-27",$11 - $20,Italian,3
PastaMania,"Cathay Cineleisure Orchard, 8 Grange Road, #02-23",$11 - $20,Italian,3.5
PastaMania,"Tampines Mall, Blk 4 Tampines Central 5, #04-21/22",$11 - $20,Italian,4
Patbingsoo Korean Dining House,"Plaza Singapura, 68 Orchard Road, #B2-47",$11 - $20,"Asian Variety, Korean",
P&#226;tisserie Glac&#233;,"Neuros Building, 8 Biomedical Grove #01-03",$11 - $20,Japanese,
Patisserie Glac&#233;,"Marina Bay Link Mall, 8A Marina Boulevard #B2-65",$11 - $20,Japanese,
Patisserie Glace,"Square 2, 10 Sinaran Drive #04-78/79",$11 - $20,Japanese,
Patisserie Glac&#233;,"Republic Plaza, 9 Raffles Place #01-16",Under $10,Japanese,
Patisserie Glac&#233;,34 Craig Road #01-10,Under $10,Japanese,3.5
